bucket,level,days_in_bucket,pct_of_total_days,days_level_defined,days_undefined_level,hit_count,probability_pct,small_sample
HIR,ONPOC,12,29.26829268292683,12,0,11,91.66666666666666,True
HIR,pPOC,12,29.26829268292683,12,0,8,66.66666666666666,True
HIR,ONL,12,29.26829268292683,12,0,7,58.333333333333336,True
HIR,ONMID,12,29.26829268292683,12,0,9,75.0,True
HIR,ONH,12,29.26829268292683,12,0,10,83.33333333333334,True
HIR,ONH_or_ONL,12,29.26829268292683,12,0,12,100.0,True
HIR,pHigh,12,29.26829268292683,12,0,8,66.66666666666666,True
HIR,pLow,12,29.26829268292683,12,0,5,41.66666666666667,True
HIR,pVAH,12,29.26829268292683,12,0,10,83.33333333333334,True
HIR,pVAL,12,29.26829268292683,12,0,8,66.66666666666666,True
LIR,ONPOC,10,24.390243902439025,10,0,8,80.0,True
LIR,pPOC,10,24.390243902439025,10,0,6,60.0,True
LIR,ONL,10,24.390243902439025,10,0,7,70.0,True
LIR,ONMID,10,24.390243902439025,10,0,8,80.0,True
LIR,ONH,10,24.390243902439025,10,0,6,60.0,True
LIR,ONH_or_ONL,10,24.390243902439025,10,0,9,90.0,True
LIR,pHigh,10,24.390243902439025,10,0,5,50.0,True
LIR,pLow,10,24.390243902439025,10,0,3,30.0,True
LIR,pVAH,10,24.390243902439025,10,0,5,50.0,True
LIR,pVAL,10,24.390243902439025,10,0,6,60.0,True
HOR,ONPOC,9,21.951219512195124,9,0,5,55.55555555555556,True
HOR,pPOC,9,21.951219512195124,9,0,2,22.22222222222222,True
HOR,ONL,9,21.951219512195124,9,0,1,11.11111111111111,True
HOR,ONMID,9,21.951219512195124,9,0,5,55.55555555555556,True
HOR,ONH,9,21.951219512195124,9,0,7,77.77777777777779,True
HOR,ONH_or_ONL,9,21.951219512195124,9,0,8,88.88888888888889,True
HOR,pHigh,9,21.951219512195124,9,0,6,66.66666666666666,True
HOR,pLow,9,21.951219512195124,9,0,0,0.0,True
HOR,pVAH,9,21.951219512195124,9,0,4,44.44444444444444,True
HOR,pVAL,9,21.951219512195124,9,0,0,0.0,True
LOR,ONPOC,10,24.390243902439025,10,0,8,80.0,True
LOR,pPOC,10,24.390243902439025,10,0,6,60.0,True
LOR,ONL,10,24.390243902439025,10,0,7,70.0,True
LOR,ONMID,10,24.390243902439025,10,0,7,70.0,True
LOR,ONH,10,24.390243902439025,10,0,3,30.0,True
LOR,ONH_or_ONL,10,24.390243902439025,10,0,10,100.0,True
LOR,pHigh,10,24.390243902439025,10,0,2,20.0,True
LOR,pLow,10,24.390243902439025,10,0,7,70.0,True
LOR,pVAH,10,24.390243902439025,10,0,3,30.0,True
LOR,pVAL,10,24.390243902439025,10,0,7,70.0,True
