bucket,level,days_in_bucket,pct_of_total_days,days_level_defined,days_undefined_level,hit_count,probability_pct,small_sample
HIR,post-IB high > IBH,12,29.26829268292683,12,0,7,58.333333333333336,True
HIR,post-IB low < IBL,12,29.26829268292683,12,0,7,58.333333333333336,True
HIR,post-IB high > IBH + 1.5*(IBH-IBL),12,29.26829268292683,12,0,2,16.666666666666664,True
HIR,post-IB low < IBL - 1.5*(IBH-IBL),12,29.26829268292683,12,0,3,25.0,True
LIR,post-IB high > IBH,10,24.390243902439025,10,0,5,50.0,True
LIR,post-IB low < IBL,10,24.390243902439025,10,0,6,60.0,True
LIR,post-IB high > IBH + 1.5*(IBH-IBL),10,24.390243902439025,10,0,1,10.0,True
LIR,post-IB low < IBL - 1.5*(IBH-IBL),10,24.390243902439025,10,0,1,10.0,True
HOR,post-IB high > IBH,9,21.951219512195124,9,0,7,77.77777777777779,True
HOR,post-IB low < IBL,9,21.951219512195124,9,0,4,44.44444444444444,True
HOR,post-IB high > IBH + 1.5*(IBH-IBL),9,21.951219512195124,9,0,1,11.11111111111111,True
HOR,post-IB low < IBL - 1.5*(IBH-IBL),9,21.951219512195124,9,0,0,0.0,True
LOR,post-IB high > IBH,10,24.390243902439025,10,0,6,60.0,True
LOR,post-IB low < IBL,10,24.390243902439025,10,0,4,40.0,True
LOR,post-IB high > IBH + 1.5*(IBH-IBL),10,24.390243902439025,10,0,1,10.0,True
LOR,post-IB low < IBL - 1.5*(IBH-IBL),10,24.390243902439025,10,0,1,10.0,True
