trading_day,open,prior_close,prior_day_high,prior_day_low,prior_day_vpoc,open_bucket,onh,onl,onmid,on_vpoc,day_high,day_low,day_close,day_vpoc,ibh,ibl,post_ib_high,post_ib_low,hit_on_vpoc,hit_prior_day_vpoc,hit_onl,hit_onmid,hit_onh,hit_prior_day_high,hit_prior_day_low,post_ib_exceed_ibh,post_ib_exceed_ibl,post_ib_exceed_upper_1p5,post_ib_exceed_lower_1p5,gap_pct,gap_filled,gap_size_bucket
2022-05-13,4267.0,4206.25,4258.0,4151.25,4224.0,HOR,4284.25,4211.75,4248.0,4267.0,4332.25,4255.75,4310.25,4316.5,4315.25,4255.75,4332.25,4272.0,True,False,False,False,True,True,False,True,False,False,False,1.4442793462109955,False,gap_1_to_2_pct
2022-05-16,4299.5,4310.25,4332.25,4255.75,4316.5,LIR,4338.25,4278.0,4308.125,4302.0,4339.75,4275.75,4296.5,4302.75,4318.25,4275.75,4339.75,4279.75,True,True,True,True,True,True,False,True,False,False,False,0.24940548692071224,True,gap_0_to_0p5_pct
2022-05-17,4365.75,4296.5,4339.75,4275.75,4302.75,HOR,4380.0,4296.75,4338.375,4363.0,4387.75,4326.0,4386.75,4382.5,4366.25,4341.25,4387.75,4326.0,True,False,False,True,True,True,False,True,True,False,False,1.6117770278133363,False,gap_1_to_2_pct
2022-05-18,4334.5,4386.75,4387.75,4326.0,4382.5,LIR,4391.25,4331.25,4361.25,4333.75,4337.75,4201.75,4210.25,4220.0,4337.75,4303.75,4311.0,4201.75,True,False,True,False,False,False,True,False,True,False,True,1.191086795463612,False,gap_1_to_2_pct
2022-05-19,4184.5,4210.25,4337.75,4201.75,4220.0,LOR,4229.5,4152.25,4190.875,4183.0,4239.75,4170.25,4194.5,4193.25,4218.25,4170.25,4239.75,4177.5,True,True,False,True,True,False,True,True,False,False,False,0.6116026364230153,True,gap_0p5_to_1_pct
2022-05-20,4231.75,4194.5,4239.75,4170.25,4193.25,HIR,4245.75,4194.5,4220.125,4231.75,4237.25,4103.75,4198.25,4194.5,4237.25,4197.25,4210.25,4103.75,True,True,True,True,False,False,True,False,True,False,True,0.8880677077124807,True,gap_0p5_to_1_pct
2022-05-23,4227.25,4198.25,4237.25,4103.75,4194.5,HIR,4251.75,4206.5,4229.125,4231.25,4278.5,4202.75,4274.25,4268.25,4243.25,4202.75,4278.5,4226.25,True,False,True,True,True,True,False,True,False,False,False,0.690764008813196,False,gap_0p5_to_1_pct
2022-05-24,4224.25,4274.25,4278.5,4202.75,4268.25,LIR,4249.0,4206.0,4227.5,4226.5,4250.75,4168.25,4246.25,4239.5,4234.75,4173.0,4250.75,4168.25,True,False,True,True,True,False,True,True,True,False,False,1.1697958706205767,False,gap_1_to_2_pct
2022-05-25,4221.25,4246.25,4250.75,4168.25,4239.5,LIR,4265.25,4209.75,4237.5,4221.5,4294.0,4217.75,4266.25,4275.25,4263.75,4217.75,4294.0,4224.75,True,True,False,True,True,True,False,True,False,False,False,0.588754783632617,True,gap_0p5_to_1_pct
2022-05-26,4285.5,4266.25,4294.0,4217.75,4275.25,HIR,4306.0,4256.75,4281.375,4285.75,4369.75,4283.75,4347.0,4351.75,4339.0,4283.75,4369.75,4327.5,True,False,False,False,True,True,False,True,False,False,False,0.45121593905654855,False,gap_0_to_0p5_pct
